('2017-05-09 22:24:32', 'RT @ProVesting: $AAPL:\n\nApple has acquired a sleep-tracking app called Beddit:\n\nhttps://t.co/ORbgmXFtLh')
('2017-05-09 22:23:55', 'RT @SharePlanner: How To Be A Trader: 3 Strategies To Make You Profitable - SharePlanner $NVDA $AAPL $FB $AMZN #wallstreet #finance  https:…')
('2017-05-09 22:23:06', 'New iPhone 8 Renders Show a Vertical Dual Lens Camera, No Rear Touch ID https://t.co/r1XmgSOkPo #AppAdvice $AAPL https://t.co/g62Byo71Cr')
('2017-05-09 22:21:12', 'RT @ReutersBiz: UPDATE: Apple shares cross $800 billion market value, last up 3 percent. $AAPL https://t.co/kCtHJ7F1lj')
('2017-05-09 22:20:29', 'RT @traderstewie: While everyone is talkin $AAPL, $AMZN and $GOOGL.\n\n$BABA is quietly ripping higher. \nPosting this chart only to show you…')
('2017-05-09 22:20:07', 'RT @scottbudman: Apple value:\n$10 Billion 1999\n$100 B 2007\n$200 B 2010\n$300 B 2011\n$400 B 1/2012\n$500 B 2/2012\n$600 B 9/2012\n$700 B 2015\n$8…')
('2017-05-09 22:18:57', 'The Compound Effect by Darren Hardy: https://t.co/czGhVZckbQ #investing #compunding $SPY $AAPL $MSFT $GE $KO $MSFT $AMZN')
('2017-05-09 22:18:14', '$AAPL:\n\nApple has acquired a sleep-tracking app called Beddit:\n\nhttps://t.co/ORbgmXFtLh')
('2017-05-09 22:16:37', '#Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock')
('2017-05-09 22:16:26', 'RT @nishantjindal: $AAPL, $MSFT, and $DIS all beat earnings estimates. Solid quarter for my portfolio #DrinksOnMe')
('2017-05-09 22:15:08', '#Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock')
('2017-05-09 22:14:58', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:57', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:57', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:56', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:56', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:56', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:55', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:55', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:54', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:53', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:53', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:53', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:52', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:51', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:51', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:49', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:49', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:49', '$AAPL Apple has acquired a sleep-tracking app called Beddit https://t.co/pm0aZcrGlj')
('2017-05-09 22:14:47', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:47', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:46', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:46', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:46', 'RT @MainstayCapital: .@TheChartress @BloombergTV reiterates CEO @David_Kudla $AAPL call to acquire $DIS or $NFLX with excess cash pile http…')
('2017-05-09 22:14:21', 'RT @MacHashNews: Apple Sends out Press Invites to WWDC 2017 https://t.co/4J3ivpHpyN #PatentlyApple $AAPL https://t.co/IVUvjR1LQC')
('2017-05-09 22:13:41', 'Millionaire trading student https://t.co/57BRWn2qIg made millions learning to trade from https://t.co/0Kj87hsj2y $AAPL $CNAT $ICPT')
