('2017-05-09 11:15:05', '$JPM $C $BAC $GS:\n\nWhy Trumpâ€™s Bank Failure Plan Is Causing Trans-Atlantic Shockwaves:\n\nhttps://t.co/231xIWrd0K'),,,,,,,,,,,,
('2017-05-09 11:13:24', 'Banks planning to move 9,000 jobs from Britain because of #Brexit | Reuters https://t.co/A5i9Qby2AI $JPM $GS $STAN'),,,,,,,,,,,
('2017-05-09 11:13:12', 'RT @jpmorgan: How will the Fed begin to normalize its balance sheet? $JPM examines the options. https://t.co/72E2OmXRIe'),,,,,,,,,,,,
('2017-05-09 11:02:19', '@jimcramer $JPM is stating banks should consolidate?  Or did I misunderstand the atatement?'),,,,,,,,,,,,
('2017-05-09 10:18:44', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/Yâ€_'),,,,,,,,,,,,
('2017-05-09 10:18:23', '#JPMorganChase EOD Risers: Exxon Mobil Corporation, Home Depot Inc, #organChase &amp; Co. Read more: https://t.co/fxsYSYfBCD $JPM'),,,,,,,,,,
('2017-05-09 10:14:36', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/YH8FDUW7gF'),,,,,,,,,,,,
('2017-05-09 10:08:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Gfiiu8MaqC'),,,,,,,,,,,,
('2017-05-09 10:07:12', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/42OZtX3lnq'),,,,,,,,,,,,
('2017-05-09 09:25:52', 'Aspen Investment Management Inc Holds Position in JPMorgan Chase &amp; Co. $JPM https://t.co/srD78PeTuh'),,,,,,,,,,,,
('2017-05-09 09:25:52', 'Aspen Investment Management Inc Holds Position in JPMorgan Chase &amp; Co. $JPM https://t.co/uwrCVHbyAc'),,,,,,,,,,,,
('2017-05-09 09:24:42', 'Aspen Investment Management Inc Holds Position in JPMorgan Chase &amp; Co. $JPM https://t.co/rfSRCviBOe'),,,,,,,,,,,,
('2017-05-09 09:22:34', 'Aspen Investment Management Inc Holds Position in JPMorgan Chase &amp; Co. $JPM https://t.co/yNHsNCM0Bb #stocks'),,,,,,,,,,,,
('2017-05-09 09:20:56', 'Pegasus Partners Ltd. Has $6.817 Million Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/A9vaNsnqDA'),,,,,,,,,,,,
('2017-05-09 09:04:36'," ""#JPMorganChase J.P. Morgan CEO Jamie Dimon Says Inner-City Education is a 'National Catastro... Read more: https://t.co/QbrXhpzTvK $JPM"")",,,,,,,,,,,,
('2017-05-09 07:29:44', 'RT @SharePlanner: Free weekly newsletter to make you a better trader - sign up #stocks #trading $AMZN $GS $TXMD  $JPM https://t.co/ip995RHaâ€_'),,,,,,,,,,,,
('2017-05-09 07:27:25', 'RT @SharePlanner: Free weekly newsletter to make you a better trader - sign up #stocks #trading $AMZN $GS $TXMD  $JPM https://t.co/ip995RHaâ€_'),,,,,,,,,,,,
('2017-05-09 06:34:02', '#JPMorganChase names new joint heads of #RealEstate lending https://t.co/DB6LVD8rLj $JPM #ChadTredway #PriscillaAlmodovar'),,,,,,,,,,,,
('2017-05-09 06:27:22', '#JPMorganChase #organChase &amp; Co : JPMorgan Chase 2017 Annual Meeting of Shareholders. Read more: https://t.co/LQnMimsKp4 $JPM'),,,,,,,,,,,,
('2017-05-09 05:55:51'," ""RT @MishGEA: U.S. Deposit Drain Coming Up? Merge Before It's Too Late? $JPM https://t.co/FJ1i89465G"")",,,,,,,,,,,,
('2017-05-09 05:54:53'," ""U.S. Deposit Drain Coming Up? Merge Before It's Too Late? $JPM https://t.co/FJ1i89465G"")",,,,,,,,,,,,
('2017-05-09 05:54:53'," ""U.S. Deposit Drain Coming Up? Merge Before It's Too Late? $JPM https://t.co/SHCn99y2N5"")",,,,,,,,,,,,
('2017-05-09 05:43:24', 'RT @LONGCONVEXITY: JP Morgan tells banks to partner up as U.S. deposit drain is coming https://t.co/8vvssroAQb via @markets $XLF #FED $JPM'),,,,,,,,,,,,
('2017-05-09 05:39:08'," ""$BAC", $C, $GS, $JPM, $MS, $USB, $WFC U.S. gov't review of Dodd-Frank to be completed in stages," Reuters reports https://t.co/VDZWuOMTyj"")",,,,,
('2017-05-09 05:33:10', '$JPM $TRP $KMI $C:\n\nAnti-Pipeline Protestors Shut Down Chase Banks in Seattle:\n\nhttps://t.co/VFgeIlzjRo'),,,,,,,,,,,,
('2017-05-09 05:21:52', '#JPMorganChase 26 arrested as climate activists target #organChase banks. Read more: https://t.co/d7zevPTVJZ $JPM'),,,,,,,,,,,,
('2017-05-09 04:56:31', '#JPMorganChase organ to Relocate London-Based Jobs to EU Due to Brexit. Read more: https://t.co/VlmF0Zd0py $JPM'),,,,,,,,,,,,
('2017-05-09 04:52:12', '#JPMorganChase Climate activists target #organChase banks. Read more: https://t.co/bNRWleYjuw $JPM'),,,,,,,,,,,,
('2017-05-09 04:22:20', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/Fâ€_'),,,,,,,,,,,,
('2017-05-09 04:21:39', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/FVBwLDIZbm'),,,,,,,,,,,,
