('2017-04-12 21:26:07', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:25:41', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:25:19', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:25:07', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:24:46', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:24:35', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:24:13', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:24:03', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:23:37', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:23:27', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:22:44', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:22:30', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:21:56', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:21:43', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:21:27', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:21:01', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:20:32', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:20:17', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:19:58', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:19:35', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:18:57', 'Market Recap. $DAL $X $AKS $CENX $TSLA $SPY $IWM $SOX $CAT $NBIX $NOVN $JPM $C $WFC \nhttps://t.co/Mghs2AhZYi  https://t.co/Mghs2AhZYi'),,,,,,,,,,,,
('2017-04-12 21:18:26', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:18:08', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:17:50', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:17:38', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:16:50', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:16:34', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:16:09', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:15:47', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:15:39', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:15:24', 'FREE REPORT\nHow do #equity #investment #HedgeFunds see #stocks\n$FB $GE $JNJ $JPM $MSFT\nin the coming weeks?â€_ https://t.co/AG9GqgHAeJ'),,,,,,,,,,,,
('2017-04-12 21:15:07', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:15:06', '@DougKass @LanceRoberts @MarkYusko @jessefelder @DividendMaster @Convertbond @hmeisler @Peter_Atwater hitting RSI If $JPM beats.#QuickFade'),,,,,,,,,,,,
('2017-04-12 21:14:28', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:14:12', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:13:52', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:13:15', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:13:08', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/T8Cw5Mv2mC'),,,,,,,,,,,,
('2017-04-12 21:12:56', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:12:43', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:12:14', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:11:55', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:11:28'," ""With bank earnings on tap"," here's how traders are looking to cash in https://t.co/faoanwGVc1 $WFC $JPM $C $XLF @cnbc"")",,,,,,,,,,,
('2017-04-12 21:11:24', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:10:58', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:10:44', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:10:13', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:09:41', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:09:25', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:08:47', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:08:23', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:08:14', '$JPM $C $WFC:\n\nFinancials turn negative for the year ahead of key bank earnings:\n\nhttps://t.co/VSkT7NWE4W'),,,,,,,,,,,,
('2017-04-12 21:08:08', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:07:58', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:07:52', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:07:30', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:07:11', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:07:10', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/SEJSxLhkBz'),,,,,,,,,,,,
('2017-04-12 21:06:59', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:06:33', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:06:14', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:05:58', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:05:34', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:05:15', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:04:58', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:04:24', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:04:05', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:03:55', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:03:28', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:02:57', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:02:41', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:02:24', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:02:03', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:01:42', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:01:27', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:00:52', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:00:15', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 21:00:02', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:59:33', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:59:29', '#Options #maxpain chart for $JPM. Free options app https://t.co/kupWqdianH https://t.co/g5JhMso9b7'),,,,,,,,,,,,
('2017-04-12 20:59:19', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:58:48', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:58:15', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:58:01', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:57:45', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:57:10', 'RT @marketexclusive: JPMorgan Chase &amp; Co. (NYSE:JPM) announces a quarterly dividend of \xa0$0.50 https://t.co/tHGlGF7pWi $JPM'),,,,,,,,,,,,
('2017-04-12 20:57:10', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:56:44', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:56:28', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:56:13', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:55:41', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:55:25', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:55:12', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:54:51', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:54:32', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:54:16', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:54:10', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:53:47', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:53:28', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:53:18', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:52:55', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:52:22', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:52:04', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:51:51', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:51:41', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:51:21', 'https://t.co/7Joy26cflD\n\nFinancials are the 2nd biggest sector in the S&amp;P 500.  Going into earnings season, I like $JPM and $C'),,,,,,,,,,,
('2017-04-12 20:51:20', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:51:18', 'Thursday earnings calendar...\n\n$C\n$CBSH\n$FHN\n$FRC\n$INFY\n$JPM\n$PNC\n$TSM\n$WFC'),,,,,,,,,,,,
('2017-04-12 20:51:09', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:50:45', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:50:30', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:50:10', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:49:54', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:49:38', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:49:27', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:49:03', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:48:47', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:48:31', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:48:23', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:48:02', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:47:43', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:47:38', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:47:29', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:47:12', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
('2017-04-12 20:46:52', 'RT @philstockworld: Will We Hold It Wednesday - 50-Day Moving Average Edition $DIA $NDX $SPX $NYA Also $QQQ $AAPL $C $FHN $FRC $JPM https:/â€_'),,,,,,,,,,,,
