('2017-05-01 16:53:13', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:53:08', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:53:01', 'Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:35:42', 'RT @IBDinvestors: Stock Futures Rise As Investors Bet Hillary Clinton Won First Debate https://t.co/FU9vyVlF08 $ACIA $JPM $BAC https://t.co…')
('2017-05-01 16:24:38', "RT @StockTwits: Wells Fargo, JPM and Citi reported earnings today. Here's what the market thinks\n\n$JPM +0.3%\n$C -0.6%\n$WFC -2.5%\n\nhttps://t…")
('2017-05-01 16:22:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/qzE08gL1Qw')
('2017-05-01 16:12:44', 'A Foolish Take: An Ominous Sign for the Economy https://t.co/AeI9zpsPKE $JPM $SPY $DJIA $C $WFC $GS')
('2017-05-01 16:10:11', "RT @vieiraUAE: Sell and move on you've been scammed @jpmorgan $JPM $X https://t.co/dRQIJoohb8")
('2017-05-01 16:09:54', "Sell and move on you've been scammed @jpmorgan $JPM $X https://t.co/dRQIJoohb8")
('2017-05-01 16:03:37', 'Interesting December Stock Options for $JPM #stockoptions https://t.co/yupxEh5Hmy')
('2017-05-01 16:02:41', '$JPM filed Form 424B2 with the SEC. Most mentioned words: notes, value, index, supplement, market')
('2017-05-01 16:01:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/6eOaNJPf00')
('2017-05-01 16:01:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/QnnOMvu4dx')
('2017-05-01 15:57:03', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0001140361-17-017485):\n\nhttps://t.co/HWuO6Z6wHh')
('2017-05-01 15:49:01', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/T8bE9Zpwsq')
('2017-05-01 15:48:57', 'A Guide to Putting CAN SLIM Concepts Into Action: https://t.co/a7nAY0cVJf $VZ $T $GS $CS $C $JPM $VIX $SPY')
('2017-05-01 15:46:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/a5HJ8uTPYT')
('2017-05-01 15:45:01', '$JPM reimagined its approach to #philanthropy. Inclusive growth = effective #workforce training https://t.co/I9YXPXe0uS @JPMorgan @Chase')
('2017-05-01 15:39:38', "Wells Fargo, JPM and Citi reported earnings today. Here's what the market thinks\n\n$JPM +0.3%\n$C -0.6%\n$WFC -2.5%\n\n https://t.co/6hSLFdgdvz")
('2017-05-01 15:35:36', 'Vetr Inc. Lowers JPMorgan Chase &amp; Co. $JPM to Buy https://t.co/O9cn1IV9Ck')
('2017-05-01 15:03:12', "RT @jpmorgan: Explore how $JPM's Depositary Receipts team has helped foreign companies grow over the last 90 years: https://t.co/pUARZHjUOe…")
('2017-05-01 14:51:53', '$GS Nice push off intial support area. https://t.co/VHF7MqmtZb #livetradepro\n\n$XLF $JPM $MS $BAC $C $JPM $WFC $SPY https://t.co/MYFb9uSt72')
('2017-05-01 14:09:35', 'How Preferred Stock Investors Can Keep Up With Increasing Rates https://t.co/rx2DJscX8V $ALL $BAC $EIX $FRC $JPM $KE')
('2017-05-01 14:03:57', 'JPM Top news - May 1st, 2017 $JPM http://https://t.co/LK3xZ5vlbV')
('2017-05-01 14:02:19', 'RT @vieiraUAE: JP Morgan customers complaints @jpmorgan and @CowenResearch at new-all time highs $JPM $X https://t.co/yihnA6l5uz https://t.…')
('2017-05-01 14:02:04', 'JP Morgan customers complaints @jpmorgan and @CowenResearch at new-all time highs $JPM $X https://t.co/yihnA6l5uz https://t.co/tR9Fta7y7z')
('2017-05-01 14:00:40', 'Advantage Investment Management LLC Invests $1.449 Million in JPMorgan Chase &amp; Co. $JPM https://t.co/rWGGjAYXCn')
('2017-05-01 14:00:39', 'Numeric Investors LLC Buys 4,700 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/LAoaDI3eMq')
('2017-05-01 13:30:06', 'https://t.co/nbsrjBp6Le // $ARIA, $KERX, $JPM, $FAS, $DIG - mid July 2015... // $KERX #trading #investing #stocks https://t.co/lAy9kKK8om')
('2017-05-01 13:26:51', 'MUST READ: OCN up huge this morning: https://t.co/ZihIz3fCKM $JPM $DUK $HLF $BBEPQ $TVIX $ULTA $LO $AXAS $ECL $DOV')
('2017-05-01 13:11:42', 'JPMorgan Chase: Hold Or Fold? https://t.co/xxyMiuJESR $AAPL $AMZN $MSFT $XOM $JPM')
('2017-05-01 13:02:32', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/u…')
('2017-05-01 12:58:04', 'JPMorgan Chase &amp; Co. $JPM Earns Neutral Rating from Nomura https://t.co/jBlka3kWMX')
