('2017-04-17 11:06:36', '#JPMorganChase Two big banks announce higher than expected profits. Read more: https://t.co/V6m6KSK3hO $JPM'),,,,,
('2017-04-17 11:05:59', '#JPMorganChase BRIEF-#organChase &amp; Co delinquency rate 1.21 percent at March end. Read more: https://t.co/11mBbgpfpu $JPM'),,,,,
('2017-04-17 11:05:22', '#JPMorganChase Investment Bank Performance Supports Solid Quarter\n| Reuters. Read more: https://t.co/gjaWv0PWrB $JPM'),,,,,
('2017-04-17 11:05:03', 'RT @tradingpol_info: Weekly #stockmarket update, includes topics on $SPX / $SPY $VIX / $VIXY $JPM, $C, $WFC, and more. via @seekingalpha  häó_'),
('2017-04-17 11:04:45'," ""#JPMorganChase An earnings beat by organ doesn't always bode well for its stock. Read more: https://t.co/1qCFd3vXuY $JPM"")",,,,,
('2017-04-17 10:56:12', 'Weekly #stockmarket update, includes topics on $SPX / $SPY $VIX / $VIXY $JPM, $C, $WFC, and more. via @seekingalpha  https://t.co/0VEyyK2fDB'),
('2017-04-17 10:48:00', 'Free weekly newsletter to make you a better trader - sign up #stocks #trading $AMZN $GS $TXMD  $JPM https://t.co/ip995RHaSC'),,,,,
('2017-04-17 10:40:06', '$JPM This is a must join site! #InvestorsHangout $EMES $ADPT $RT $FMSA $MT\n\n https://t.co/xrEVHVSLg6'),,,,,
('2017-04-17 10:35:11', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOGäó_'),,,,,
('2017-04-17 10:23:59', '$JPM: JPMorgan March Credit Card Write-Offs 2.47% Vs 2.28% M/M: BBG @zerohedge https://t.co/5BX6Xh4aLC'),,,,,
('2017-04-17 10:08:29', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOGäó_'),,,,,
('2017-04-17 10:01:07', 'Weekly S&amp;P100 #Stocks Performance $DOW $DD $FDX $BA $MSFT $CAT $TXN $FOXA $FB $IBM $JPM $GD $PCLN $USB  more@ https://t.co/cKkr8cKsju'),,,,,
('2017-04-17 10:00:51', 'Weekly Dow #Stocks Trend $DD $MSFT $CAT $INTC $MRK $BA $CSCO $AAPL $IBM $JPM $MCD $UNH $DIS $V $HD $TRV $AXP  @ https://t.co/TvzJfd0RGT'),,,,,
('2017-04-17 10:00:34', '$HIVE What do you think about it? #InvestorsHangout $JPM $DIS $SVU $KODK $EXXI\n\n https://t.co/13pQpnOq69'),,,,,
('2017-04-17 10:00:02', '$JPM $84.40 (-1.17%) being heavily traded.  Our #sentiment analysis tool gives you a pulse on the #market.  https://t.co/GvMdw1aUkZ'),,,,,
('2017-04-17 09:59:53', 'Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.Aäó_ https://t.co/CgysV69bHt'),,,,,
('2017-04-17 09:57:03', '$DEST Check out this site! #InvestorsHangout $INFY $JPM $JNP $AMWD $ALXN\n\n https://t.co/h4ImlvxSx5'),,,,,
('2017-04-17 09:39:12', 'JPMorgan Chase &amp; Co. $JPM Position Raised by Hilltop Holdings Inc. https://t.co/VHqlJCsems'),,,,,
('2017-04-17 09:36:59', 'Caxton Associates LP Acquires New Position in JPMorgan Chase &amp; Co. $JPM https://t.co/wURpWug0tv'),,,,,
('2017-04-17 09:12:34', '$BLDP This is a must join site! #InvestorsHangout $CFNL $JPM $NSA $MS $AVGO\n\n https://t.co/0AzrwWkR6T'),,,,,
