('2017-04-19 12:57:16', 'Morgan Stanley Jumps After Beating Estimates On 96% Surge In Fixed Income Revenue https://t.co/dtdis6nOnW $GS $MS $BAC $JPM'),,,,,,,,,,,
('2017-04-19 12:43:49', 'RT @OpenOutcrier: $JPM (+0.6% pre) JPMorgan Chase posts stellar first quarter amid strong loan growth- CNBC\n\nhttps://t.co/skSbnuI9g7'),,,,,,,,,,,
('2017-04-19 12:42:57', '$JPM (+0.6% pre) JPMorgan Chase posts stellar first quarter amid strong loan growth- CNBC\n\nhttps://t.co/skSbnuI9g7'),,,,,,,,,,,
('2017-04-19 12:42:15', 'The #cloud remains an area that provides real hope for #financial services companies https://t.co/EQ9qixCgUa $IT‰Û_ https://t.co/V6zpeAwRGU'),,,,,,,,,,,
('2017-04-19 12:30:30', 'RT @HughJRobbins: $BAC Down day in general... Same thing happened with $C and $JPM during their good earning calls last week. #stocks #inve‰Û_'),,,,,,,,,,,
('2017-04-19 12:28:32', '$BAC Down day in general... Same thing happened with $C and $JPM during their good earning calls last week. #stocks #investing #tradeideas'),,,,,,,,,,,
('2017-04-19 12:26:31'," ""With #Brexit coming"," here's where U.K. banking jobs might be heading $JPM $MS $GS https://t.co/i5AgBNjsm4 https://t.co/vT5S1MWc7d"")",,,,,,,,,,
('2017-04-19 12:26:10', 'RT @OpenOutcrier: $NAVI (+0.0% pre) JPMorgan $JPM to Sell $6.9 Billion of Student Loans to Navient - BBG\n\nhttps://t.co/gEn4bRIkgF'),,,,,,,,,,,
('2017-04-19 12:25:54', '$NAVI (+0.0% pre) JPMorgan $JPM to Sell $6.9 Billion of Student Loans to Navient - BBG\n\nhttps://t.co/gEn4bRIkgF'),,,,,,,,,,,
('2017-04-19 12:10:01', '$JPM firing on all cylinders.'),,,,,,,,,,,
('2017-04-19 12:02:07'," ""SAlphaTrending: America Has A New Banking King And It's 52% Undervalued https://t.co/Qjr9eOtvQr $WFC $JPM"")",,,,,,,,,,,
('2017-04-19 12:00:01'," ""America Has A New Banking King And It's 52% Undervalued https://t.co/0I8Uqxuo8G $WFC $JPM"")",,,,,,,,,,,
('2017-04-19 11:51:55', 'RT @WallStJesus: _ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t‰Û_'),,,,,,,,,,,
