('2017-04-14 01:10:04', 'RT @charliebilello: Bank stocks end the week at 4-month lows. Post-election euphoria wearing off. $JPM $C $BAC $MS $GS $WFC https://t.co/SHâ€_')
('2017-04-14 01:07:06', 'RT @420WeedStreet: US Air Force sends message 2 N.Korea w/ display of air power! https://t.co/s4eylP153n $SPY $SPX $QQQ $ES_F $IWM $FB $GSâ€_')
('2017-04-14 01:06:36'," ""$JPM and $C couldn't stop the slide. #StockMarket $SPX 2100 is in play."")"
('2017-04-14 01:01:44', 'American Express: Threats On The Horizon? https://t.co/xu1p29phFe $AMZN $FB $JPM $MA $PYPL $V $AXP')
('2017-04-14 00:52:31'," ""RT @WallStJesus: _Ÿ”¥TODAY'S ACTIVE FLOW &gt;&gt; $BAC $AAPL $TSLA $JPM $WFC $FB $C $AMZN $MU $NVDA $NFLX $X $BABA $VALE $BBRY $CMG $GS $QCOM $WLL $â€_"")"
('2017-04-14 00:50:27', 'American Express: Threats On The Horizon? $AMZN $FB $JPM $MA $PYPL $V $AXP https://t.co/SUgGYNKFE9 #Investingâ€_ https://t.co/2I5SCJVg5a')
('2017-04-14 00:50:05', 'US Air Force sends message 2 N.Korea w/ display of air power! https://t.co/s4eylP153n $SPY $SPX $QQQ $ES_F $IWM $FB $GS $AMZN $JPM $GOOGL')
('2017-04-14 00:46:32', 'American Express: Threats On The Horizon? https://t.co/mOzaNylADG $AMZN $FB $JPM $MA $PYPL $V $AXP')
('2017-04-14 00:44:33', 'Jamie Dimon says fixing #mortgage industry would boost lending by $300 billion a year https://t.co/aj0mCGS6Dd $JPM #RealEstate')
('2017-04-14 00:26:27'," '@allstarcharts But Tepper said ""you bet your heinie"" short bonds at 2.60% on 10 year and I\'m killed in long $TBTâ€_ https://t.co/XkrzBAVu28')"
