('2017-05-02 11:04:31', 'RT @weijgenberger: The False Revival Of R.U.S.T. Stocks https://t.co/oSBp3h7dy7 $AAPL $AMZN $CAT $DE $FB $GOOG $GOOGL $NFLX $O $SPG $X $EEM‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 11:04:13', 'RT @DailyCaller: The New ‰Û÷House Of Cards‰Ûª Season 5 Trailer Is Exactly What You‰Ûªve Been Waiting For https://t.co/TmudmLJe0i #HouseOfCards #N‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 10:57:21', 'The New ‰Û÷House Of Cards‰Ûª Season 5 Trailer Is Exactly What You‰Ûªve Been Waiting For https://t.co/TmudmLJe0i‰Û_ https://t.co/4971zCHdjw'),,,,,,,,,,,,,,,,
('2017-05-02 10:43:44'," ""Apple Earnings: What To Expect From The World's Richest Tech Company https://t.co/vZlFxV9Nwf $NFLX $QCOM $SSNLF $TSLA $TSM $TOSBF $GTATQ"")",,,,,,,,,,,,,,,,
('2017-05-02 10:35:37', 'Netflix Inc. $NFLX Lifted to Hold at Vetr Inc. https://t.co/A14ZCpJI6w'),,,,,,,,,,,,,,,,
('2017-05-02 10:35:37', 'Netflix Inc. $NFLX Lifted to Hold at Vetr Inc. https://t.co/ODrWTm8Z1M'),,,,,,,,,,,,,,,,
('2017-05-02 10:34:46', 'RT @weijgenberger: The False Revival Of R.U.S.T. Stocks https://t.co/oSBp3h7dy7 $AAPL $AMZN $CAT $DE $FB $GOOG $GOOGL $NFLX $O $SPG $X $EEM‰Û_'),,,,,,,,,,,,,,,,
('2017-05-02 10:29:18', 'RT @racernic: #FANG stocks $FB $AMZN $NFLX $GOOGL $GOOG. full bkout. https://t.co/1VCYyG6ygl https://t.co/xLGnOp25OB'),,,,,,,,,,,,,,,,
('2017-05-02 10:23:57', 'The False Revival Of R.U.S.T. Stocks https://t.co/oSBp3h7dy7 $AAPL $AMZN $CAT $DE $FB $GOOG $GOOGL $NFLX $O $SPG $X $EEM $GDX $SDY $SPY'),,,,,,,,,,,,,,,,
('2017-05-02 10:21:32', 'RT @amigobulls: With 500% Jump In Profits Can Netflix Stock Head Even Higher? $NFLX https://t.co/tYXYYlW4tp https://t.co/ZouDl1RCMk'),,,,,,,,,,,,,,,,
('2017-05-02 10:16:46', 'With 500% Jump In Profits Can Netflix Stock Head Even Higher? $NFLX https://t.co/tYXYYlW4tp https://t.co/ZouDl1RCMk'),,,,,,,,,,,,,,,,
('2017-05-02 10:04:14', 'RT @Investing_Books: So You Want to Start a Hedge Fund: Lessons for Managers and Allocators: https://t.co/hWSq4aqxRw $SPY $AAPL $TSLA $NFLX'),,,,,,,,,,,,,,,,
('2017-05-02 09:26:28', 'Hollywood writers producers reach deal; strike averted $NFLX https://t.co/WvXoIKB25f'),,,,,,,,,,,,,,,,
('2017-05-02 09:18:57', 'So You Want to Start a Hedge Fund: Lessons for Managers and Allocators: https://t.co/hWSq4aqxRw $SPY $AAPL $TSLA $NFLX'),,,,,,,,,,,,,,,,
('2017-05-02 08:29:41'," ""RT @Investing_Books: Liar's Poker by Michael Lewis: https://t.co/b8y3x8Enn1 $WFM $JPM $C $AAPL $TSLA $NFLX $SPY"")",,,,,,,,,,,,,,,,
('2017-05-02 08:19:24', 'Bank of America Corp Reiterates ‰ÛÏBuy‰Ûù Rating for Netflix Inc. $NFLX https://t.co/wexEw6B2PQ'),,,,,,,,,,,,,,,,
('2017-05-02 08:18:57', 'The Little Book That Makes You Rich by Louis Navellier: https://t.co/iYi1sYmURg #growth #investing $AAPL $TSLA $NFLX $GOOGL $HD $L $T'),,,,,,,,,,,,,,,,
('2017-05-02 08:13:58', 'RT @DFMtrades: $NFLX new high today at $157 https://t.co/RVMQTPr6y9'),,,,,,,,,,,,,,,,
('2017-05-02 08:05:11'," ""Apple Earnings: What To Expect From The World's Richest Tech Company https://t.co/PhSyplfjxS $NFLX $QCOM $SSNLF $TSLA $TSM $TOSBF $GTATQ"")",,,,,,,,,,,,,,,,
('2017-05-02 07:58:03', '$NFLX:\n\nNetflix Inc. (NFLX) Estimates Adjust By Goldman Sachs Following ‰Û_:\n\nhttps://t.co/AOlX3GWMzZ'),,,,,,,,,,,,,,,,
('2017-05-02 07:50:32', 'RT @upsidetrader: $NFLX ......Just puked out the head of all Hollywood https://t.co/4u8FfkhhIl'),,,,,,,,,,,,,,,,
('2017-05-02 07:35:25', 'Q2 2017 Earnings Estimate for Netflix Inc. $NFLX Issued By FBR &amp; Co https://t.co/Ni1g14uMSt'),,,,,,,,,,,,,,,,
('2017-05-02 07:35:24', 'Q2 2017 Earnings Estimate for Netflix Inc. $NFLX Issued By FBR &amp; Co https://t.co/zksvSZsm7Q'),,,,,,,,,,,,,,,,
('2017-05-02 07:34:29', 'Q2 2017 Earnings Estimate for Netflix Inc. $NFLX Issued By FBR &amp; Co https://t.co/zPW1L5DPnG'),,,,,,,,,,,,,,,,
('2017-05-02 07:31:43', 'Q2 2017 Earnings Estimate for Netflix Inc. $NFLX Issued By FBR &amp; Co https://t.co/caRI9ss4Zn #stocks'),,,,,,,,,,,,,,,,
