('2017-04-12 14:03:26', 'As latest $TWTR m&amp;a chatter swirls; Reiterate our long-held call @tim_cook $AAPL should buy to make #AppleNews king &amp; #Periscope #iOS\n\n$AMZN')
('2017-04-12 14:02:33', '@BrianSozzi RE $QQQ $SPY  https://t.co/INHo1lzmZb\nRE $AAPL https://t.co/L9bWlRLe0e\nRE $AMZN  https://t.co/u01uJJoM2Z')
('2017-04-12 14:02:19', 'RT @tradewithjoe: Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GLâ€_')
('2017-04-12 14:01:18', 'RT @petenajarian: rt @ThomasrossRoss\n$AAPL Najarian yesterday said heavy buying in 141 &amp; 142 weekly calls. https://t.co/ZbnOjpOjS8')
('2017-04-12 14:00:47', 'RT @tradewithjoe: Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GLâ€_')
('2017-04-12 14:00:14', 'Apple Stock Price: 141.80 #apple $AAPL')
('2017-04-12 14:00:11', 'Benzinga: PC Shipments Fall Below 63 Million Units For First Time Since 2007 https://t.co/lcNMWQU6TO $AAPL $HPQ')
('2017-04-12 14:00:04', '#Apple Inc stock testing 20-day SMA support line. #AAPL https://t.co/E5zpeyZeM0 $AAPL')
('2017-04-12 14:00:04', 'Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GLD $GDX $GDXJ $USO')
('2017-04-12 14:00:02', 'PC Shipments Fall Below 63 Million Units For First Time Since 2007 https://t.co/AkQaUQK7tT $AAPL $HPQ')
('2017-04-12 13:58:15', '$AMD $HTZ $LVS $AAPL will be the trades of the month')
('2017-04-12 13:57:21', 'rt @ThomasrossRoss\n$AAPL Najarian yesterday said heavy buying in 141 &amp; 142 weekly calls. https://t.co/ZbnOjpOjS8')
('2017-04-12 13:54:23'," ""RT @barronstechblog: Apple May Have Consequences for Hampering Qualcomm Contracts Says Wells - Tech Trader Daily - Barron's $AAPL $BBRY htâ€_"")"
('2017-04-12 13:52:20'," ""Am I glad Intrexon bought Enviroflight?  Not yet but I'm patient. #BillMiller said to buy $AAPL @ $60 https://t.co/eXBgpyxyJL $AAPL $XON"")"
('2017-04-12 13:51:12', 'Toshiba likely to reject $27B memory business bid by Apple manufacturer Foxconn https://t.co/3nrHXmtBfrâ€_ https://t.co/HWyEnJ8eWV')
('2017-04-12 13:50:55', 'RT @SwatOptions: $AAPL APR.13 2017 CALL 141 crazy 35k volume vs 3449 open interest... bids now at 0.8s')
